[2024-08-26 10:35:29.706] [bm] [info] Params: run_name          sampleN20
[2024-08-26 10:35:29.706] [bm] [info] Params: input_data        ../Data/sampleN20.dat
[2024-08-26 10:35:29.706] [bm] [info] Params: input_init_guess  ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000
[2024-08-26 10:35:29.706] [bm] [info] Params: output_data       ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.json
[2024-08-26 10:35:29.706] [bm] [info] Params: output_err        ../Results_Metropolis/err_sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.txt
[2024-08-26 10:35:29.706] [bm] [info] Params: use_exact         false
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_display      100
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_max          150000
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_J             0.05
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_h             0.03
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_S         0.00058
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_SS        0.000705
[2024-08-26 10:35:29.706] [bm] [info] Params: n_rep             40
[2024-08-26 10:35:29.706] [bm] [info] Params: t_eq              9000
[2024-08-26 10:35:29.706] [bm] [info] Params: t_meas            270000
[2024-08-26 10:35:29.711] [bm] [info] read_tidy_data: read from ../Data/sampleN20.dat
[2024-08-26 10:35:29.711] [bm] [info] read_tidy_data: n_spins: 19, n_samples: 114641
[2024-08-26 10:35:30.137] [bm] [info] main: using metropolis
[2024-08-26 10:36:18.931] [bm] [info] main: sampleN20 iter=100 err_S=3.564891E-03 err_SS=1.989276E-03
[2024-08-26 10:37:07.836] [bm] [info] main: sampleN20 iter=200 err_S=3.196136E-03 err_SS=1.724936E-03
[2024-08-26 10:37:56.984] [bm] [info] main: sampleN20 iter=300 err_S=3.098797E-03 err_SS=1.523298E-03
[2024-08-26 10:38:45.901] [bm] [info] main: sampleN20 iter=400 err_S=2.755165E-03 err_SS=1.936222E-03
[2024-08-26 10:39:34.864] [bm] [info] main: sampleN20 iter=500 err_S=2.452984E-03 err_SS=1.802461E-03
[2024-08-26 10:40:23.694] [bm] [info] main: sampleN20 iter=600 err_S=2.725444E-03 err_SS=1.549860E-03
[2024-08-26 10:41:13.037] [bm] [info] main: sampleN20 iter=700 err_S=2.621664E-03 err_SS=1.181548E-03
[2024-08-26 10:42:01.937] [bm] [info] main: sampleN20 iter=800 err_S=2.615442E-03 err_SS=1.680237E-03
[2024-08-26 10:42:50.765] [bm] [info] main: sampleN20 iter=900 err_S=2.881413E-03 err_SS=1.876040E-03
[2024-08-26 10:43:39.725] [bm] [info] main: sampleN20 iter=1000 err_S=2.417543E-03 err_SS=1.330592E-03
[2024-08-26 10:44:28.540] [bm] [info] main: sampleN20 iter=1100 err_S=2.235970E-03 err_SS=1.416021E-03
[2024-08-26 10:45:17.338] [bm] [info] main: sampleN20 iter=1200 err_S=2.012205E-03 err_SS=1.080785E-03
[2024-08-26 10:46:06.187] [bm] [info] main: sampleN20 iter=1300 err_S=2.266396E-03 err_SS=1.240052E-03
[2024-08-26 10:46:55.238] [bm] [info] main: sampleN20 iter=1400 err_S=2.028223E-03 err_SS=1.122370E-03
[2024-08-26 10:47:44.044] [bm] [info] main: sampleN20 iter=1500 err_S=1.867253E-03 err_SS=9.632433E-04
[2024-08-26 10:48:32.894] [bm] [info] main: sampleN20 iter=1600 err_S=2.393203E-03 err_SS=1.484199E-03
[2024-08-26 10:49:22.086] [bm] [info] main: sampleN20 iter=1700 err_S=2.123770E-03 err_SS=1.376172E-03
[2024-08-26 10:50:09.998] [bm] [info] main: sampleN20 iter=1800 err_S=1.920381E-03 err_SS=1.457801E-03
[2024-08-26 10:50:56.644] [bm] [info] main: sampleN20 iter=1900 err_S=1.911427E-03 err_SS=1.343153E-03
[2024-08-26 10:51:42.361] [bm] [info] main: sampleN20 iter=2000 err_S=1.869553E-03 err_SS=1.140798E-03
[2024-08-26 10:52:28.080] [bm] [info] main: sampleN20 iter=2100 err_S=1.594536E-03 err_SS=1.102934E-03
[2024-08-26 10:53:13.863] [bm] [info] main: sampleN20 iter=2200 err_S=1.475963E-03 err_SS=1.476609E-03
[2024-08-26 10:53:59.562] [bm] [info] main: sampleN20 iter=2300 err_S=2.149218E-03 err_SS=1.897683E-03
[2024-08-26 10:54:45.303] [bm] [info] main: sampleN20 iter=2400 err_S=1.633118E-03 err_SS=1.038617E-03
[2024-08-26 10:55:31.068] [bm] [info] main: sampleN20 iter=2500 err_S=1.649260E-03 err_SS=1.309756E-03
[2024-08-26 10:56:16.985] [bm] [info] main: sampleN20 iter=2600 err_S=1.600812E-03 err_SS=1.169384E-03
[2024-08-26 10:57:02.535] [bm] [info] main: sampleN20 iter=2700 err_S=2.314851E-03 err_SS=1.884717E-03
