[2024-08-08 16:32:26.796] [bm] [info] Params: run_name          sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: input_data        ./Data/sampleN30.dat
[2024-08-08 16:32:26.796] [bm] [info] Params: input_init_guess  ./Results/sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: output_data       ./Results/sampleN30.json
[2024-08-08 16:32:26.796] [bm] [info] Params: output_err        ./Results/err_sampleN30.txt
[2024-08-08 16:32:26.796] [bm] [info] Params: use_exact         false
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_display      100
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_max          150000
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_J             0.05
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_h             0.03
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_S         0.0006670033
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_SS        0.0009712739
[2024-08-08 16:32:26.796] [bm] [info] Params: n_rep             40
[2024-08-08 16:32:26.796] [bm] [info] Params: t_eq              9000
[2024-08-08 16:32:26.796] [bm] [info] Params: t_meas            270000
[2024-08-08 16:32:26.802] [bm] [info] read_tidy_data: read from ./Data/sampleN30.dat
[2024-08-08 16:32:26.803] [bm] [info] read_tidy_data: n_spins: 29, n_samples: 114641
[2024-08-08 16:32:28.106] [bm] [info] main: using metropolis
[2024-08-08 16:33:12.132] [bm] [info] main: sampleN30 iter=100 err_S=0.005160 err_SS=0.007128
[2024-08-08 16:33:56.117] [bm] [info] main: sampleN30 iter=200 err_S=0.004532 err_SS=0.001711
[2024-08-08 16:34:40.392] [bm] [info] main: sampleN30 iter=300 err_S=0.003991 err_SS=0.001459
[2024-08-08 16:35:24.240] [bm] [info] main: sampleN30 iter=400 err_S=0.003458 err_SS=0.001837
[2024-08-08 16:36:08.782] [bm] [info] main: sampleN30 iter=500 err_S=0.004175 err_SS=0.001874
[2024-08-08 16:36:52.316] [bm] [info] main: sampleN30 iter=600 err_S=0.003228 err_SS=0.001576
[2024-08-08 16:37:35.904] [bm] [info] main: sampleN30 iter=700 err_S=0.002982 err_SS=0.001598
[2024-08-08 16:38:20.036] [bm] [info] main: sampleN30 iter=800 err_S=0.002702 err_SS=0.001368
[2024-08-08 16:39:04.846] [bm] [info] main: sampleN30 iter=900 err_S=0.002880 err_SS=0.001808
[2024-08-08 16:39:49.660] [bm] [info] main: sampleN30 iter=1000 err_S=0.003413 err_SS=0.002017
[2024-08-08 16:40:33.135] [bm] [info] main: sampleN30 iter=1100 err_S=0.003077 err_SS=0.001341
[2024-08-08 16:41:16.229] [bm] [info] main: sampleN30 iter=1200 err_S=0.002865 err_SS=0.001581
[2024-08-08 16:41:59.576] [bm] [info] main: sampleN30 iter=1300 err_S=0.002571 err_SS=0.002786
[2024-08-08 16:42:43.449] [bm] [info] main: sampleN30 iter=1400 err_S=0.003227 err_SS=0.002009
[2024-08-08 16:43:27.087] [bm] [info] main: sampleN30 iter=1500 err_S=0.002323 err_SS=0.001686
[2024-08-08 16:44:10.677] [bm] [info] main: sampleN30 iter=1600 err_S=0.002208 err_SS=0.001566
[2024-08-08 16:44:54.449] [bm] [info] main: sampleN30 iter=1700 err_S=0.003976 err_SS=0.003415
[2024-08-08 16:45:38.025] [bm] [info] main: sampleN30 iter=1800 err_S=0.002366 err_SS=0.001410
[2024-08-08 16:46:22.070] [bm] [info] main: sampleN30 iter=1900 err_S=0.001911 err_SS=0.001732
[2024-08-08 16:47:06.442] [bm] [info] main: sampleN30 iter=2000 err_S=0.002408 err_SS=0.001361
[2024-08-08 16:47:50.918] [bm] [info] main: sampleN30 iter=2100 err_S=0.002252 err_SS=0.001280
[2024-08-08 16:48:34.852] [bm] [info] main: sampleN30 iter=2200 err_S=0.002075 err_SS=0.001664
[2024-08-08 16:49:18.678] [bm] [info] main: sampleN30 iter=2300 err_S=0.002022 err_SS=0.001772
[2024-08-08 16:50:03.519] [bm] [info] main: sampleN30 iter=2400 err_S=0.002181 err_SS=0.001811
[2024-08-08 16:50:47.936] [bm] [info] main: sampleN30 iter=2500 err_S=0.002129 err_SS=0.001710
[2024-08-08 16:51:33.078] [bm] [info] main: sampleN30 iter=2600 err_S=0.002199 err_SS=0.001526
[2024-08-08 16:52:16.950] [bm] [info] main: sampleN30 iter=2700 err_S=0.002278 err_SS=0.001505
